,date,account_value
0,2021-01-03,2000000.0
1,2021-01-04,2000745.9921500003
2,2021-01-05,1992430.0150500005
3,2021-01-06,1985158.4687000006
4,2021-01-07,1972137.5024500003
5,2021-01-10,1980642.0978000006
6,2021-01-11,1995934.5518500006
7,2021-01-12,2017067.0253500002
8,2021-01-13,2037416.3811000006
9,2021-01-14,2089473.1351500007
10,2021-01-17,2094933.9252000004
11,2021-01-18,2071903.9401000007
12,2021-01-19,2067974.6818000006
13,2021-01-20,2053576.3884500004
14,2021-01-21,2055878.839350001
15,2021-01-24,2057498.9504000004
16,2021-01-25,2047210.856850001
17,2021-01-26,2028117.3133500004
18,2021-01-27,2034189.58145
19,2021-01-28,2037957.040550001
20,2021-01-31,2014644.5615500004
21,2021-02-01,1985517.4201500006
22,2021-02-02,1974691.931700001
23,2021-02-03,1971481.0255500006
24,2021-02-04,1981194.0320500007
25,2021-02-07,1956107.0564500007
26,2021-02-08,1925247.7764500005
27,2021-02-09,1959269.7387500005
28,2021-02-10,1980115.5565500008
29,2021-02-11,1967078.6262500004
30,2021-02-14,2023531.0527500005
31,2021-02-15,2043249.2828000006
32,2021-02-16,2043318.6739500004
33,2021-02-17,2011126.4655500003
34,2021-02-18,2002365.5844500007
35,2021-02-22,1981418.7951000005
36,2021-02-23,1959906.4654000008
37,2021-02-24,1980061.5392000007
38,2021-02-25,1981708.8116000006
39,2021-02-28,1983353.1637000002
40,2021-03-01,1985138.6927000007
41,2021-03-02,1999694.4284000006
42,2021-03-03,1993333.0772500003
43,2021-03-04,1994926.3062500006
44,2021-03-07,2061438.0522500009
45,2021-03-08,2099637.5035000006
46,2021-03-09,2165414.7106500007
47,2021-03-10,2224872.7167000007
48,2021-03-11,2158913.453100001
49,2021-03-14,2136818.268100001
50,2021-03-15,2135526.1984500005
51,2021-03-16,2136196.8352500005
52,2021-03-18,2106629.25785
53,2021-03-21,2057005.0993000006
54,2021-03-22,2099966.5566000007
55,2021-03-23,2074092.0092500004
56,2021-03-24,2055531.444350001
