date,a2c,ddpg,td3,ppo,sac,mvo
2021-01-03,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2053987.9158004432
2021-01-04,2000139.8370999997,1998133.9849999996,1997892.3349999997,2000040.3472,2001811.7199999997,2047058.2758899264
2021-01-05,1994387.8425499997,1981288.6999999997,1980405.6,1999921.2722999998,1983012.3049999997,2027858.4324536999
2021-01-06,1990292.4551,1967760.9075,1973053.1749999998,1999995.4261999996,1971554.1009499996,2015981.121415495
2021-01-07,1978467.72985,1950231.6030999997,1965011.9349999998,1999630.7670999994,1955905.2302999997,2002719.2369967832
2021-01-10,1984764.1674999997,1956884.1031,1972412.8020499998,1999887.4530999993,1969049.3455999994,2010868.5820254216
2021-01-11,2002357.6519499999,1978941.8030999997,2000838.3020499998,2000303.0130499995,1987185.8060499995,2032415.5746045713
2021-01-12,2019785.3397000001,2001316.5030999999,2044753.1020499999,2000424.438049999,2010096.1564499997,2062233.9716749522
2021-01-13,2054013.3012500003,2026444.2030999998,2057909.6020499999,2001382.154099999,2053531.5564499998,2085956.0756313428
2021-01-14,2104046.4761,2070867.2030999998,2120524.30205,2002576.1100499993,2101636.8034499995,2131549.212518939
2021-01-17,2074234.0063499995,2054486.3031,2155580.70205,2000509.0994499992,2092466.4897999996,2160546.155236498
2021-01-18,2070510.2849,2041390.4030999998,2123863.9020499997,2000532.6919999986,2087967.3215499998,2134176.0148482844
2021-01-19,2050870.2485000002,2027213.6030999997,2118999.30205,2000045.1832999988,2063060.69515,2123355.250767187
2021-01-20,2040392.3242499998,2020316.9030999998,2104003.30205,1999889.1947499989,2058398.0264499995,2116172.35604815
2021-01-21,2043337.8842,2021254.1030999997,2110135.4020499997,1999959.5120499986,2065833.7861499998,2118683.848273575
2021-01-24,2047850.88475,2020354.1030999997,2112060.10205,1999870.1266999987,2058196.9861499995,2107459.109397295
2021-01-25,2043280.3313000002,2013609.5030999999,2113936.60205,1999819.8441999983,2063926.0861499996,2106587.7338582324
2021-01-26,2041648.8045499998,2016455.7030999993,2133937.80205,1999387.5631499987,2087040.6861499995,2133613.602846095
2021-01-27,2043758.8534000001,2020660.8031,2169634.60205,1999372.8946999982,2119341.98615,2164728.8326482587
2021-01-28,2055632.7044499998,2024249.0030999999,2178197.80205,2000697.1265499988,2132209.6861499995,2172085.3229421936
2021-01-31,2047301.5569499996,2014913.7030999998,2145614.5020500002,2001083.223449999,2121247.6861499995,2149955.9995187894
2021-02-01,2026356.2947,1997147.9030999998,2098789.00205,2000445.1105999993,2087459.3861499997,2109621.263052702
2021-02-02,2023834.6792,1998574.5030999996,2100626.00205,1999607.4128499993,2095750.5861499996,2113579.824369732
2021-02-03,2024713.2470500001,2002125.4031,2132032.50205,1999879.5340499994,2132701.98615,2146674.479042297
2021-02-04,2070238.8465500001,2044778.5030999999,2176591.00205,2003852.4492499994,2213892.48615,2207008.696887698
2021-02-07,2058112.9815499997,2033578.7030999998,2124609.70205,2003235.9815999994,2177443.98615,2164233.007798163
2021-02-08,2016305.6356000002,1998667.2031,2071465.40205,1999282.6261999991,2102076.58615,2102885.9415998384
2021-02-09,2034589.1900499999,2019937.5030999996,2088444.90205,2000353.346749999,2105211.1861499995,2122781.2124440838
