,date,account_value
0,2017-01-02,2000000.0
1,2017-01-03,2000747.4705750002
2,2017-01-04,2002444.961175
3,2017-01-05,2012396.7491750002
4,2017-01-06,2012513.3096500002
5,2017-01-09,1991022.241175
6,2017-01-10,1993561.6103000003
7,2017-01-11,1999652.4885750003
8,2017-01-12,1991107.9375500006
9,2017-01-13,1985562.7133250006
10,2017-01-16,1996324.5971500007
11,2017-01-17,1985965.0163750006
12,2017-01-18,1983853.7126250006
13,2017-01-19,1997773.4248500003
14,2017-01-20,1980283.8424750008
15,2017-01-23,2002601.2130750008
16,2017-01-24,2028562.6772500006
17,2017-01-25,2085596.722150001
18,2017-01-27,2092582.7221500007
19,2017-01-30,2090574.3221500008
20,2017-01-31,2058041.422150001
21,2017-02-01,2094941.672150001
22,2017-02-02,2111607.072150001
23,2017-02-03,2109909.822150001
24,2017-02-06,2131704.3721500007
25,2017-02-07,2140207.2721500006
26,2017-02-08,2157870.5721500004
27,2017-02-09,2157127.6221500007
28,2017-02-10,2152136.6221500007
29,2017-02-13,2153055.7221500007
30,2017-02-14,2134436.572150001
31,2017-02-15,2109399.6721500005
32,2017-02-16,2120125.1721500005
33,2017-02-17,2168002.9221500005
34,2017-02-20,2204079.4721500003
35,2017-02-21,2227477.4221500005
36,2017-02-22,2211851.572150001
37,2017-02-23,2206125.7221500007
38,2017-02-27,2195089.0221500006
39,2017-02-28,2159228.9721500007
40,2017-03-01,2164625.072150001
41,2017-03-02,2127229.6721500005
42,2017-03-03,2124664.8721500007
43,2017-03-06,2126643.172150001
44,2017-03-07,2136720.422150001
45,2017-03-08,2135130.1721500005
46,2017-03-09,2133335.3721500007
47,2017-03-10,2129966.672150001
48,2017-03-14,2178938.9721500007
49,2017-03-15,2182352.922150001
50,2017-03-16,2202976.9721500007
51,2017-03-17,2200079.6221500007
52,2017-03-20,2210403.3721500007
53,2017-03-21,2209752.1221500007
54,2017-03-22,2193302.5221500006
55,2017-03-23,2210669.772150001
56,2017-03-24,2200672.1721500005
57,2017-03-27,2187737.9721500007
58,2017-03-28,2209078.3721500007
59,2017-03-29,2213509.4221500005
60,2017-03-30,2231690.672150001
61,2017-03-31,2224931.9221500005
62,2017-04-03,2218273.9721500007
63,2017-04-05,2222785.6721500005
64,2017-04-06,2228106.6721500005
