date,a2c,ddpg,td3,ppo,sac,mvo
2017-01-02,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2003917.6920480737
2017-01-03,1997903.8776000002,1999997.4800000004,2000609.4875,2000016.938625,1999869.04795,2012230.9746068064
2017-01-04,1998357.5022500004,1999864.7150000003,2006253.5725000002,2000652.35495,1999851.8004249996,2025332.0653329124
2017-01-05,2020913.0945000006,2023049.9092500005,2021296.1975000002,2002698.7055000002,2000737.9017499997,2038290.877964282
2017-01-06,2022402.3043500003,2025644.2592500004,2027856.2825000002,2003056.7103500003,2001616.9017499995,2043036.8972543865
2017-01-09,1986543.1651750007,1999715.7592500004,1979730.5225000004,1997841.2169250003,2000199.7891249994,2026544.4994949098
2017-01-10,1994062.5207750003,2001372.7592500004,1976179.1043500002,1998803.4922250002,2002005.1159999997,2044740.6011696395
2017-01-11,2002971.6160500005,2011689.5592500004,1977674.3043500003,2000686.3350250002,2005731.4905999997,2061878.221760563
2017-01-12,1996539.039975001,2006916.2092500005,1962328.2043500002,1998132.9465500005,2005537.8974499998,2060126.341274783
2017-01-13,1993955.7222000014,2006921.4592500005,1947485.7043500002,1996824.9711250006,2007162.5150000001,2057820.7135685585
2017-01-16,1994823.7113750014,2009338.6092500004,1952738.9043500004,1998181.9624500005,2009511.0410499999,2072301.6628467888
2017-01-17,1992987.5637750013,2000619.0592500004,1948005.3043500003,2001379.4516750006,2009848.69855,2071287.8238074072
2017-01-18,1991792.782900001,1997921.5592500004,1936577.7043500005,1999568.8248750004,2011557.0896750002,2080246.8344222265
2017-01-19,1986524.8667500012,1995719.7592500004,1937775.7043500002,2001125.9360500001,2009485.6086750003,2084877.2384539824
2017-01-20,1980639.6658250012,1989018.6092500004,1932901.1043500004,2001123.6629750005,2008233.1064750003,2070419.114190748
2017-01-23,1972774.4418500017,1989921.8592500004,1921709.1043500004,2001471.6301500003,2011834.5482000003,2081146.9697463317
2017-01-24,1993097.6920500016,2018674.7092500003,1946958.5043500003,2013858.171,2022476.669125,2106901.147171347
2017-01-25,2000652.2163750017,2039597.3092500004,1966730.1043500004,2025522.3836250005,2035624.4067750003,2145805.6061438266
2017-01-27,1994953.1749750017,2049328.5092500004,1968096.0043500003,2022488.2259500003,2039735.6070500002,2154147.83722956
2017-01-30,2001283.4889750015,2064599.1092500004,1977548.2043500005,2028397.4876000006,2041204.5424750003,2159120.0521243652
2017-01-31,1989612.5755000017,2042250.0092500004,1973820.7043500005,2018995.1651000003,2033441.9886250002,2134573.3442773763
2017-02-01,2024015.7501500014,2062244.0592500004,1980759.7043500002,2031894.3745750007,2049345.0282500004,2177406.185793986
2017-02-02,2030683.0719500016,2088698.2092500005,2043662.4043500004,2053789.9499000008,2051393.6886750003,2200365.138267385
2017-02-03,2044046.0507000012,2100637.85925,2060164.9043500004,2060660.2284500005,2057959.4020000002,2192891.146093903
2017-02-06,2055205.3275750014,2103034.2592500006,2047925.9043500004,2061745.6949750008,2064629.0720750005,2211825.535329738
2017-02-07,2054545.7721750014,2093391.6092500004,2032137.5043500003,2058777.9484250008,2063098.7527000005,2215748.0836277464
2017-02-08,2061974.322175002,2086484.3592500004,2020775.8043500003,2050672.371325001,2062777.0134500007,2243291.9158687424
2017-02-09,2053333.1721750018,2084018.0592500004,2026388.80435,2053463.717550001,2055901.729925001,2244912.3976597693
2017-02-10,2042216.2221750014,2075046.4092500005,2001205.7043500005,2037374.8139750008,2055259.0232750007,2243810.0167841353
2017-02-13,2036570.1221750015,2070623.2592500004,1993409.6043500004,2029298.165825001,2054582.6276750006,2237740.215139882
2017-02-14,2028544.8221750015,2070169.0092500004,1982107.8043500003,2018217.5022000007,2053901.7433250006,2234740.151611687
2017-02-15,2028702.022175002,2055597.1092500004,1958292.80435,2003995.8205750007,2050503.5199250006,2215736.4889032147
2017-02-16,2029875.7721750017,2071815.0592500004,1965673.4043500002,2005273.214400001,2058842.9009500006,2226523.1694590645
2017-02-17,2054657.2721750014,2082087.7092500003,1966969.4043500002,2008500.0914000007,2086199.0513000004,2254255.3880199185
2017-02-20,2081358.5221750014,2084344.7592500006,1959998.1043500004,2016259.381000001,2103315.7868000004,2277752.152735346
2017-02-21,2103371.3221750017,2096406.0592500004,1968802.5043500003,2026826.1188250007,2115446.6702250005,2315289.0787053527
