,date,account_value
0,2019-01-02,2000000.0
1,2019-01-03,1999010.8914700001
2,2019-01-04,2001546.26941
3,2019-01-07,2001766.589585
4,2019-01-08,2002762.9903199996
5,2019-01-09,2003284.0044599997
6,2019-01-10,2004697.3848499993
7,2019-01-11,2003978.2060799995
8,2019-01-14,2004569.3574899992
9,2019-01-15,2004999.7409149995
10,2019-01-16,2008606.5695049996
11,2019-01-17,2012249.1969199998
12,2019-01-18,2018986.1379949995
13,2019-01-22,2011406.9976549994
14,2019-01-23,2010559.9281549992
15,2019-01-24,2012442.6982999993
16,2019-01-25,2016806.1351199993
17,2019-01-28,2014448.0550499994
18,2019-01-29,2015913.9638299998
19,2019-01-30,2023596.1814149995
20,2019-01-31,2026546.8263849998
21,2019-02-01,2029199.7571549998
22,2019-02-04,2037648.9643449998
23,2019-02-05,2043422.6791100004
24,2019-02-06,2044017.8279750003
25,2019-02-07,2032790.7540700005
26,2019-02-08,2026759.8743500004
27,2019-02-11,2027857.2202700006
28,2019-02-12,2048815.635545001
29,2019-02-13,2055780.956250001
30,2019-02-14,2045294.7565550013
31,2019-02-15,2067579.261330001
32,2019-02-19,2065610.676390001
33,2019-02-20,2072713.261925001
34,2019-02-21,2065202.079570001
35,2019-02-22,2073056.827405001
36,2019-02-25,2084277.7627700008
37,2019-02-26,2079857.082035001
38,2019-02-27,2090939.660790001
39,2019-02-28,2085010.7034800006
40,2019-03-01,2087707.0719450004
41,2019-03-04,2079891.636475
42,2019-03-05,2069146.04609
43,2019-03-06,2052781.7834100001
44,2019-03-07,2039293.5708000003
45,2019-03-08,2043818.8712600002
46,2019-03-11,2052186.2612400004
47,2019-03-12,2031284.7100750003
48,2019-03-13,2043649.9310750002
49,2019-03-14,2044391.1697950002
50,2019-03-15,2058130.5219450002
51,2019-03-18,2062002.8342000006
52,2019-03-19,2059450.544795001
53,2019-03-20,2035875.2259150008
54,2019-03-21,2029416.8395850006
55,2019-03-22,1972437.5489750006
56,2019-03-25,1969354.7829600004
57,2019-03-26,1993824.1382600004
58,2019-03-27,1990243.9129150005
59,2019-03-28,2000448.5396700006
60,2019-03-29,2013829.0580750005
61,2019-04-01,2066332.3750550004
62,2019-04-02,2069939.1374300006
63,2019-04-03,2071161.387295001
64,2019-04-04,2089003.2144200006
65,2019-04-05,2086534.4977300006
66,2019-04-08,2073011.9851100007
67,2019-04-09,2051108.9758600008
68,2019-04-10,2053882.0141050005
69,2019-04-11,2067653.3430300006
70,2019-04-12,2119577.82653
71,2019-04-15,2100651.8229800006
72,2019-04-16,2123248.823890001
73,2019-04-17,2142832.2915650005
74,2019-04-18,2142533.5502550006
75,2019-04-22,2143464.9526900006
76,2019-04-23,2150252.4196450002
77,2019-04-24,2154037.1724200007
78,2019-04-25,2097602.1992900004
79,2019-04-26,2093017.6189500003
80,2019-04-29,2096199.6148450004
81,2019-04-30,2095348.8997350005
82,2019-05-01,2075526.0055650005
83,2019-05-02,2073916.4470500008
84,2019-05-03,2090703.2165650004
85,2019-05-06,2073012.5697900006
86,2019-05-07,2032592.1152150005
87,2019-05-08,2021727.1469150006
88,2019-05-09,2003596.1209500006
89,2019-05-10,2012831.2689550004
90,2019-05-13,1953187.1780250005
91,2019-05-14,1973152.9569600006
92,2019-05-15,1969731.658845001
93,2019-05-16,1986643.94739
94,2019-05-17,1972967.6383700005
95,2019-05-20,1967174.9205800004
96,2019-05-21,1982484.8241200005
97,2019-05-22,1977460.8567300006
98,2019-05-23,1947005.0095550006
99,2019-05-24,1961948.4596100005
100,2019-05-28,1933103.1649600007
101,2019-05-29,1924432.3406450006
102,2019-05-30,1916580.9134650007
103,2019-05-31,1894625.9293150005
104,2019-06-03,1895280.1036500006
105,2019-06-04,1954737.9765600003
106,2019-06-05,1960643.9597350007
107,2019-06-06,1968889.1565250005
108,2019-06-07,1974090.5418200004
109,2019-06-10,1995348.2409850005
110,2019-06-11,1999996.9538950007
111,2019-06-12,1986369.9061200006
112,2019-06-13,1988704.049855001
113,2019-06-14,1987166.8929700006
114,2019-06-17,1971598.9337550006
115,2019-06-18,2006739.4993450006
