,a2c,ddpg,td3,ppo,sac,mvo
2019-01-02,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2012918.8668272812
2019-01-03,1999010.8914700001,1996619.2654999997,1997291.5635,1999954.2269400002,1997664.271,1933032.6701963076
2019-01-04,2001546.26941,2004926.1979999999,2003368.4600000002,2000083.67633,2003940.6865,2020266.0049789795
2019-01-07,2001766.589585,2008179.0425000002,2005182.8270000003,2000128.273145,2004418.5215000003,2045610.3893740796
2019-01-08,2002762.9903199996,2014391.3370000005,2006867.8845000006,2000144.62238,2006783.2690000008,2083808.8996001177
2019-01-09,2003284.0044599997,2018337.8490000002,2008094.7260000003,2000214.4294599998,2007660.7150000003,2086322.4244908295
2019-01-10,2004697.3848499993,2024822.9615,2011237.4405000003,2000224.0294699997,2007337.0685,2097333.528084336
2019-01-11,2003978.2060799995,2023695.5295000002,2009667.8895000003,2000246.2986050001,2006253.445,2094487.6270347834
2019-01-14,2004569.3574899992,2022966.1745000002,2012088.4475000002,2000339.9560850007,2008853.8955000003,2080949.4440584779
2019-01-15,2004999.7409149995,2033923.862,2014942.8515000003,2000377.7476550003,2010426.1805000002,2104295.5177336205
2019-01-16,2008606.5695049996,2042223.938,2022379.0945000001,2000714.7370750003,2018178.3755,2101843.885731806
2019-01-17,2012249.1969199998,2055472.5965,2029869.9635000003,2000899.3796,2025786.1804999998,2126610.684966309
2019-01-18,2018986.1379949995,2069425.6505,2044213.4900000007,2001188.24369,2045021.6375000002,2154194.99071393
2019-01-22,2011406.9976549994,2040488.1210000003,2021301.4170000008,2000828.6257049998,2027552.2910000002,2104206.401295959
2019-01-23,2010559.9281549992,2045477.7025000004,2019857.2235000008,2000809.0715149997,2027615.6145000004,2106948.1782792574
2019-01-24,2012442.6982999993,2051877.1040000003,2023818.0800000008,2000871.88799,2028556.9340000004,2111996.9391285335
2019-01-25,2016806.1351199993,2073986.2905000004,2042349.8030000008,2001342.31234,2046428.2205000003,2149700.6943258056
2019-01-28,2014448.0550499994,2055999.7845000005,2029707.9455000008,2001032.9819599998,2037691.9470000004,2121104.7414318807
2019-01-29,2015913.9638299998,2041710.8060000003,2029159.4585000009,2000899.7406499998,2038614.9290000005,2110934.230899996
2019-01-30,2023596.1814149995,2112017.223,2051021.9855000009,2001210.2130149999,2049984.8840000005,2212676.2018120703
2019-01-31,2026546.8263849998,2134784.7885000003,2084596.936000001,2001344.467185,2064075.5385000005,2243334.176736816
2019-02-01,2029199.7571549998,2131057.1184500004,2088121.046000001,2001170.4779750004,2068289.7418500006,2220131.5319875274
2019-02-04,2037648.9643449998,2164393.3451500004,2095467.071000001,2001404.2728850003,2077949.5194800003,2236312.1324057477
2019-02-05,2043422.6791100004,2201488.9251500005,2102067.991815001,2001496.9324600005,2072638.2794500005,2255885.934622412
2019-02-06,2044017.8279750003,2195183.3451500004,2100917.7401650012,2001449.4200000009,2075065.9422100005,2255221.116757947
2019-02-07,2032790.7540700005,2166683.4651500005,2072017.740165001,2000961.7185100007,2058584.8349250006,2223283.488355697
