date,AAPL,AIG,AMD,AMZN,AXP,BA,BAC,C,GE,HBAN,INTC,JNJ,JPM,KEY,MMM,MSFT,NTRS,PNC,STT,TROW,USB,ZION
2019-01-02,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-03,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-04,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-07,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-08,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-09,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-10,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-11,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-14,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-15,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-16,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-17,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-18,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-22,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-23,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-24,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-25,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-28,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-29,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-30,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-01-31,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-02-01,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-02-04,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-02-05,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-02-06,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-02-07,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-02-08,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-02-11,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-02-12,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-02-13,21,11,63,0,0,20,0,31,0,0,0,74,0,0,95,41,0,100,0,40,0,0
2019-02-14,21,11,63,0,0,19,0,30,0,0,0,74,0,0,94,41,0,100,0,40,0,0
2019-02-15,21,11,63,0,0,19,0,30,0,0,0,74,0,0,94,41,0,100,0,40,0,0
2019-02-19,19,10,62,0,0,19,0,31,0,0,0,69,0,0,91,39,0,100,0,37,0,0
