,date,account_value
0,2021-01-03,2000000.0
1,2021-01-04,2001550.01095
2,2021-01-05,1996675.06245
3,2021-01-06,1990366.69025
4,2021-01-07,1981213.14135
5,2021-01-10,1985303.2157000005
6,2021-01-11,2006389.4087500004
7,2021-01-12,2028055.5797000006
8,2021-01-13,2055303.0622000003
9,2021-01-14,2110498.9808500004
10,2021-01-17,2104881.4887500005
11,2021-01-18,2103348.75295
12,2021-01-19,2086354.1376000005
13,2021-01-20,2071895.8289500005
14,2021-01-21,2069924.7645500004
15,2021-01-24,2073187.5123500004
16,2021-01-25,2057610.9762500003
17,2021-01-26,2049585.2154500003
18,2021-01-27,2064129.8096500004
19,2021-01-28,2074265.8091000004
20,2021-01-31,2062688.1602000005
21,2021-02-01,2042523.3902000003
22,2021-02-02,2043575.9631000005
23,2021-02-03,2048876.7121500003
24,2021-02-04,2079305.6617500004
25,2021-02-07,2068660.30055
26,2021-02-08,2022475.752900001
27,2021-02-09,2047114.8999000003
28,2021-02-10,2065659.3463500007
29,2021-02-11,2079765.79435
30,2021-02-14,2144443.0412500007
31,2021-02-15,2158947.2883000006
32,2021-02-16,2145595.8590000006
33,2021-02-17,2119111.9914
34,2021-02-18,2097347.445200001
35,2021-02-22,2085647.8933
36,2021-02-23,2086806.1632000005
37,2021-02-24,2096637.5704000003
38,2021-02-25,2083034.6419500005
39,2021-02-28,2097990.312550001
40,2021-03-01,2084488.3793500005
41,2021-03-02,2083748.3458500006
42,2021-03-03,2074370.9128500004
43,2021-03-04,2076266.1799500005
44,2021-03-07,2146585.909800001
45,2021-03-08,2173650.3543000007
46,2021-03-09,2219403.0958000002
47,2021-03-10,2256507.56795
48,2021-03-11,2201503.7257000003
49,2021-03-14,2193166.8559999997
50,2021-03-15,2189444.5560000003
51,2021-03-16,2210180.8745500003
52,2021-03-18,2175694.374550001
53,2021-03-21,2126550.5745500005
54,2021-03-22,2173515.8745500003
55,2021-03-23,2145951.2836500006
56,2021-03-24,2134054.0836500004
57,2021-03-25,2149654.2836500006
58,2021-03-28,2144832.7836500006
59,2021-03-29,2161841.2836500006
60,2021-03-31,2118758.083650001
61,2021-04-01,2115118.78365
62,2021-04-04,2037727.3836500007
63,2021-04-05,2061046.78365
64,2021-04-06,2096199.7836500003
65,2021-04-07,2139386.58365
66,2021-04-08,2119459.6836500005
67,2021-04-11,2075787.5998500006
68,2021-04-12,2082522.4947500005
69,2021-04-13,2110364.8201500005
70,2021-04-15,2119601.6951000006
71,2021-04-18,2122261.791700001
72,2021-04-19,2125989.5174500006
73,2021-04-20,2131809.9124000003
74,2021-04-21,2125961.2276500002
75,2021-04-22,2128497.866
76,2021-04-25,2144658.466
77,2021-04-26,2139990.9660000005
78,2021-04-27,2128757.666
79,2021-04-28,2138911.2660000003
80,2021-04-29,2134704.9660000005
81,2021-05-02,2135267.866000001
82,2021-05-03,2128946.6298500006
83,2021-05-04,2130530.635450001
84,2021-05-05,2126963.5337000005
85,2021-05-06,2146240.7188500003
86,2021-05-09,2178093.9065000005
87,2021-05-11,2217489.6065000007
88,2021-05-12,2210888.206500001
89,2021-05-16,2192572.8065
90,2021-05-17,2203477.9065000005
91,2021-05-18,2201766.1065
92,2021-05-19,2195938.5065
93,2021-05-20,2176627.6065000007
94,2021-05-23,2176060.5065000006
95,2021-05-24,2192647.8065000004
96,2021-05-25,2191109.0065000006
97,2021-05-27,2201296.1065000007
98,2021-05-30,2188426.0065000006
99,2021-05-31,2190494.9065
100,2021-06-01,2205549.0065000006
101,2021-06-02,2213562.206500001
102,2021-06-03,2224105.9065000005
103,2021-06-06,2222380.3065000004
104,2021-06-07,2204842.406500001
105,2021-06-08,2219157.4065000005
106,2021-06-09,2217169.9065000005
107,2021-06-10,2218044.5065000006
108,2021-06-13,2207007.4065
109,2021-06-14,2195768.3065000004
110,2021-06-15,2203291.806500001
111,2021-06-16,2200950.9065
112,2021-06-17,2218216.2065
113,2021-06-20,2220624.2065
114,2021-06-21,2222747.806500001
115,2021-06-22,2224656.6065000007
116,2021-06-23,2210375.5065000006
117,2021-06-24,2206912.7065000003
118,2021-06-27,2193241.3065000004
119,2021-06-28,2199367.1065
120,2021-06-29,2204389.6064999998
121,2021-06-30,2214668.6065
122,2021-07-05,2211141.1065000007
123,2021-07-06,2220190.7065000003
124,2021-07-07,2223493.6065000007
125,2021-07-08,2238435.306500001
126,2021-07-12,2283110.9065000005
127,2021-07-13,2290413.6065000007
128,2021-07-14,2277801.8065000004
129,2021-07-15,2297693.906500001
130,2021-07-18,2322932.5065
131,2021-07-19,2321138.6065
132,2021-07-25,2273356.5065000006
133,2021-07-26,2275986.0065
134,2021-07-27,2272889.4065
135,2021-07-28,2286123.0065000006
136,2021-07-29,2298916.4065000005
137,2021-08-02,2289343.0065
138,2021-08-03,2294505.0065000006
139,2021-08-05,2305133.9065000005
140,2021-08-09,2312295.9065000005
141,2021-08-10,2309014.7065000003
142,2021-08-11,2315768.1065000007
143,2021-08-12,2318678.206500001
