,a2c,ddpg,td3,ppo,sac,mvo
2019-01-02,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2012918.8668272812
2019-01-03,1999098.3951850003,1997747.3584999999,1997902.5399999998,1999923.9139950003,1996039.58,1933032.6701963076
2019-01-04,2001622.8808050007,2003481.825,2003433.1134999997,2000146.2253800002,2006354.1075,2020266.0049789795
2019-01-07,2002862.2502300006,2004374.849,2004299.2969999998,2000260.8508700004,2008079.0405000001,2045610.3893740796
2019-01-08,2003554.0296050005,2005861.7179999999,2009764.3310000002,2000320.8670350004,2015824.6750000005,2083808.8996001177
2019-01-09,2003585.5998650005,2006874.3964999996,2013732.678,2000373.91553,2018562.333,2086322.4244908295
2019-01-10,2006180.4248450007,2006896.9699999997,2018374.625,2000480.7985850002,2023300.7104999998,2097333.528084336
2019-01-11,2006120.6818200005,2005949.5384999996,2018839.1825,2000451.2926200004,2022959.6875000002,2094487.6270347834
2019-01-14,2006981.5515300003,2005816.1719999996,2019830.7045,2000435.2886650003,2021499.6840000001,2080949.4440584779
2019-01-15,2009054.256095,2007668.8114999996,2027025.1625,2000613.1156250003,2027101.7675,2104295.5177336205
2019-01-16,2013873.834315,2013401.3459999994,2031242.219,2000889.6426300004,2034313.5359999998,2101843.885731806
2019-01-17,2018704.8404750004,2019314.5919999997,2040713.063,2001172.27574,2049787.9405,2126610.684966309
2019-01-18,2024469.1560500008,2034072.5674999997,2052379.475,2001551.75594,2076562.6385,2154194.99071393
2019-01-22,2012944.8205250006,2018134.9264999998,2037473.3995,2000716.91027,2047489.2179999999,2104206.401295959
2019-01-23,2012924.8973850007,2016388.8969999999,2039833.8960000002,2000882.4066550003,2048385.9129999997,2106948.1782792574
2019-01-24,2012192.9141750005,2019470.9285,2039995.3070000005,2001256.46708,2050601.6398399998,2111996.9391285335
2019-01-25,2026158.2546350006,2029528.856,2055401.7115000007,2001568.98499,2073100.1491699999,2149700.6943258056
2019-01-28,2021268.177995,2020497.4679999996,2046901.6335000005,2000998.0730899996,2059641.8662449997,2121104.7414318807
2019-01-29,2021348.4445250002,2021233.3444999997,2042799.8045000006,2000759.4379399994,2057865.7414600002,2110934.230899996
2019-01-30,2031111.8582099993,2042893.1994999994,2096346.0885000008,2001860.9993799997,2109471.053205,2212676.2018120703
2019-01-31,2055913.8443799997,2045114.4834999994,2087670.9625000008,2002689.9817949997,2120034.4085549996,2243334.176736816
2019-02-01,2053845.4099399995,2039069.7109999997,2088791.0525000007,2002104.3234499998,2118253.3013349995,2220131.5319875274
2019-02-04,2055650.6241999995,2053617.0814999994,2117818.1150000007,2002556.3190149998,2135060.202545,2236312.1324057477
2019-02-05,2063048.3169099996,2056706.1204999995,2148418.5170000005,2003111.944275,2151044.5732250004,2255885.934622412
2019-02-06,2062117.9282999993,2059667.0914999996,2147278.2530000005,2003026.0174250002,2152755.4310999997,2255221.116757947
2019-02-07,2043757.0085899998,2038152.9999999995,2128292.0120000006,2002149.572335,2134119.766145,2223283.488355697
2019-02-08,2036172.105635,2025946.3379999995,2121522.1500000004,2001512.7047450002,2124029.2337550004,2216894.7069141995
2019-02-11,2039765.2881049998,2032102.4626599997,2118219.4175000004,2001826.919375,2128297.4531349996,2215399.664921223
2019-02-12,2060822.9236150002,2073109.6226599996,2149627.7455000007,2003450.3381599998,2169866.49633,2255333.264009161
2019-02-13,2075799.2026899997,2082266.7026599995,2150809.5120000006,2004176.2079299996,2179980.736265,2260813.893564958
2019-02-14,2058047.343155,2050327.7026599995,2131962.636055,2002962.14516,2160217.9372599996,2245102.5962414183
2019-02-15,2081579.3190950002,2088285.6026599996,2179777.0060550007,2004156.3726000004,2192180.68949,2274042.48655322
2019-02-19,2080914.595115,2090267.8226599996,2180955.4760550004,2004533.7907550007,2194026.32007,2278445.4485060386
2019-02-20,2086010.451155,2098389.6226599994,2198700.5060550002,2004710.5229900004,2204318.8382699997,2288987.3204413606
2019-02-21,2075502.3596299998,2088742.4826599995,2190652.956055001,2004280.3125250004,2193059.0424450003,2275873.0368078463
2019-02-22,2085842.5022899997,2096569.2426599995,2214007.4760550004,2005086.9983650006,2209592.583305,2297860.0050355587
2019-02-25,2107650.1169,2105965.2626599995,2228724.356055001,2006052.122660001,2216195.49004,2308441.8934761835
2019-02-26,2099663.5382999997,2100375.5826599994,2229082.646055001,2005562.9735300012,2210170.57344,2302245.0967273437
2019-02-27,2109110.5773049993,2107490.8426599996,2254189.5160550005,2006061.9509900014,2219731.514695,2309207.4336603964
2019-02-28,2090406.5316949994,2098677.6826599995,2263110.8160550008,2005112.3718650017,2213978.4139549998,2311832.292170957
2019-03-01,2097542.145575,2110579.6626599994,2271627.086055001,2005711.294895002,2228150.0785600003,2331257.407934461
2019-03-04,2094885.8599649998,2113804.4826599997,2240743.9460550006,2006040.2704200018,2220926.91269,2325351.757514256
2019-03-05,2070517.3364599997,2106138.3826599997,2227682.476055001,2004723.3419150026,2210076.71039,2317045.200873322
2019-03-06,2035763.8397799996,2093723.8226599996,2203112.7460550005,2002564.9890700027,2186392.3761600005,2292035.3456362654
2019-03-07,2028641.2179049996,2066542.2826599996,2180884.4160550004,2001010.781305003,2155258.5994200003,2263352.597571778
2019-03-08,2034843.1752099996,2072405.3626599996,2182597.9560550004,2001284.7511850027,2159054.384425,2264361.7080325205
2019-03-11,2065969.594535,2116362.9426599997,2127318.0360550005,2004221.3380050028,2196239.762165,2277349.8607496694
2019-03-12,2069510.1476899998,2115693.7826599996,2061420.8060550003,2004186.5028900027,2203966.30039,2255291.991792828
2019-03-13,2090122.4280249993,2133934.6226599994,2078042.5160550002,2005593.3581300029,2224028.8457549997,2266234.8143806495
2019-03-14,2099960.8975199996,2138736.0026599998,2069535.6560550001,2005748.6787000028,2226482.131305,2255632.267225457
2019-03-15,2095143.1987699997,2155427.7826599996,2092421.6660550004,2006506.697670003,2237484.08629,2278057.713567483
2019-03-18,2110947.4887949997,2170079.6226599994,2084235.6860550004,2008072.9490450027,2254651.1122700004,2280888.2028503916
2019-03-19,2116971.3755849996,2162815.2426599995,2084072.4360550002,2008218.0850500031,2249386.5460050004,2311682.885873985
2019-03-20,2092752.7061749995,2138374.52266,2073640.7460550005,2007159.2296450033,2212084.5572150005,2313746.070546027
2019-03-21,2103775.4276249995,2143675.2026599995,2069183.4760550002,2007759.2942150033,2220098.8841049997,2344161.2932898076
2019-03-22,2047643.6329399997,2087550.0826599996,2003842.3397550005,2002424.9932150028,2147434.7375299996,2282353.8474589707
2019-03-25,2033990.30376,2078247.8426599996,2027237.8597550006,2001872.5006950032,2139759.10321,2284884.6638218528
2019-03-26,2067104.8756399995,2103119.1226599994,2037753.1397550004,2004405.2730950033,2172351.067655,2298339.8715303116
2019-03-27,2057178.3272749996,2097624.06266,2042084.5897550005,2003436.363265003,2157610.93677,2293237.840526709
2019-03-28,2066320.3408399997,2110597.0826599994,2050337.8697550006,2004457.3717750034,2170595.963385,2302080.4815067183
2019-03-29,2078493.6172449992,2113988.7826599996,2073696.8597550006,2005060.1016200036,2175035.678765,2319922.1117502297
2019-04-01,2105783.2867799997,2163372.5026599993,2124235.3197550005,2008867.4664300035,2231785.2894349997,2358767.9270831416
2019-04-02,2108993.4206399997,2164183.1226599994,2120064.7697550002,2009363.8200200032,2231198.868985,2360255.511582767
