Tic,Count
ADSK,6639
PEP,6639
KR,6639
PH,6639
BMY,6639
HBAN,6639
EFX,6639
HAL,6639
ALL,6639
CSCO,6639
USB,6639
KIM,6639
CL,6639
HIG,6639
PLD,6639
QCOM,6639
TXT,6639
JPM,6639
AMAT,6639
NTAP,6639
ITW,6639
NEM,6639
ETN,6639
TYL,6639
NI,6639
IEX,6639
AMZN,6639
MCD,6639
C,6639
LUV,6639
PXD,6639
BXP,6639
GD,6639
SHW,6639
AIG,6639
EQT,6639
INTC,6639
WY,6639
RCL,6639
SBUX,6639
CAH,6639
TER,6639
LOW,6639
ATO,6639
EMR,6639
MLM,6639
HPQ,6639
CSX,6639
PG,6639
PHM,6639
GE,6639
PNC,6639
NKE,6639
AOS,6639
CPT,6639
MMM,6639
URI,6639
UNH,6639
CCL,6639
EL,6639
BSX,6639
AMGN,6639
UDR,6639
IP,6639
RL,6639
NUE,6639
AVY,6639
MAA,6639
SO,6639
LEN,6639
BA,6639
IPG,6639
EA,6639
ROK,6639
WAT,6639
MCK,6639
TXN,6639
PPL,6639
REG,6639
HD,6639
MHK,6639
TROW,6639
UNP,6639
PNR,6639
AXP,6639
LLY,6639
SWK,6639
ROL,6639
CHD,6639
FMC,6639
ROST,6639
CPB,6639
INCY,6639
VLO,6639
JCI,6639
KEY,6639
CPRT,6639
AES,6639
MCHP,6639
BAC,6639
ESS,6639
TJX,6639
DTE,6639
ETR,6639
MU,6639
WBA,6639
LRCX,6639
EQR,6639
EOG,6639
RHI,6639
AMD,6639
STT,6639
AAPL,6639
LH,6639
CI,6639
JNJ,6639
MSFT,6639
CMCSA,6639
EMN,6639
WMB,6639
FAST,6639
DLTR,6639
HSY,6639
WFC,6639
WDC,6639
INTU,6639
PCAR,6639
SLB,6639
DOV,6639
ZION,6639
PEG,6639
TSN,6639
MRK,6639
PGR,6638
ALB,6638
LMT,6638
BDX,6638
KLAC,6638
FCX,6638
SNPS,6638
MGM,6638
D,6638
ADI,6638
PFE,6638
O,6638
CMS,6638
TRMB,6638
KMB,6638
CAG,6638
IBM,6638
SYK,6638
SNA,6638
FITB,6638
ABT,6638
MO,6638
CB,6638
FE,6638
DHR,6638
BAX,6638
ADBE,6638
ED,6638
HUM,6638
CAT,6638
DHI,6638
NOC,6638
DUK,6638
TSCO,6638
APD,6638
TFX,6638
OKE,6638
OMC,6638
FDX,6638
DGX,6638
MAS,6638
AME,6638
KO,6638
ECL,6638
STLD,6638
WEC,6638
PCG,6638
HOLX,6638
DE,6638
MMC,6638
GIS,6638
FDS,6638
NEE,6638
TMO,6638
FRT,6638
HSIC,6638
AFL,6638
CMA,6638
BEN,6638
MSI,6638
OXY,6638
SPG,6638
DIS,6638
GWW,6638
NSC,6638
NTRS,6638
AON,6638
MAR,6638
WAB,6638
EIX,6638
AJG,6638
PSA,6638
BK,6638
MDT,6638
HRL,6638
VFC,6638
WHR,6638
COF,6638
ADM,6637
BWA,6637
YUM,6637
JBHT,6637
MRO,6637
BBY,6637
TECH,6637
ORCL,6637
ARE,6637
GLW,6637
K,6637
UHS,6637
XRAY,6637
GPC,6637
AEE,6637
CLX,6637
RJF,6637
PNW,6637
PAYX,6637
PPG,6637
PTC,6637
APH,6637
DRI,6637
SCHW,6637
KMX,6637
SYY,6637
T,6637
MTD,6636
JKHY,6636
CINF,6636
IDXX,6636
ANSS,6636
CVS,6636
VRTX,6636
AZO,6636
NVR,6635
WST,6635
REGN,6635
BIIB,6635
GILD,6635
ZBRA,6633
CTAS,6633
NDSN,6632
CHRW,6632
ORLY,6631
POOL,6630
WMT,6629
VRSN,6615
MNST,6615
PWR,6610
IR,6598
BF,6568
BRK,6568
LNT,6564
VTR,6557
JBL,6554
EXPD,6548
MTB,6536
AMT,6533
AVB,6533
APA,6529
CTSH,6523
SRE,6516
RSG,6515
COO,6504
WM,6503
ODFL,6469
IT,6462
EBAY,6456
AEP,6449
ROP,6447
STE,6409
NVDA,6374
IFF,6370
ASML,6357
IRM,6308
BRO,6307
GS,6304
MKC,6288
FFIV,6279
SBAC,6274
HAS,6269
JNPR,6267
CSGP,6242
RMD,6200
BLK,6195
AKAM,6176
UPS,6171
A,6165
XOM,6157
AZN,6137
SIRI,6128
TGT,6116
PKG,6115
EW,6070
MET,6070
ON,6052
ACGL,6035
ISRG,6020
CRL,6013
MRVL,6010
VZ,6008
ILMN,5989
XEL,5975
EQIX,5969
SJM,5968
STZ,5954
MCO,5945
DVA,5941
EXC,5931
ADP,5903
HON,5876
ALGN,5862
GPN,5861
CCI,5805
MDLZ,5771
ACN,5745
BG,5736
CVX,5692
PFG,5682
PRU,5647
TTWO,5546
RF,5546
BIO,5544
NFLX,5537
SWKS,5514
COP,5467
CNP,5446
WYNN,5429
CME,5400
STX,5397
GEN,5328
GRMN,5282
MOH,5258
LKQ,5192
CNC,5183
CMI,5146
TFC,5125
AIZ,5107
NRG,5073
BKR,5067
CRM,5013
DPZ,5000
EXR,4976
GOOGL,4973
DVN,4936
MOS,4926
DLR,4923
MKTX,4912
LVS,4889
CE,4865
TAP,4852
NDAQ,4852
DXCM,4808
EXPE,4728
CF,4725
AMP,4690
CDNS,4670
ICE,4656
LYV,4633
MS,4618
CMG,4610
FIS,4607
TDG,4578
MPWR,4552
MA,4527
FSLR,4405
HST,4343
TRV,4339
HES,4329
F,4328
BR,4315
TMUS,4303
LDOS,4297
FOXA,4297
SPGI,4297
AMCR,4296
WELL,4296
HUBB,4295
TPR,4295
LHX,4294
GL,4293
DAL,4293
J,4293
BKNG,4290
FOX,4282
PODD,4281
IVZ,4277
BX,4258
DFS,4252
TEL,4251
PARA,4250
TT,4234
LULU,4232
RTX,4232
PEAK,4221
MELI,4217
LIN,4187
ULTA,4167
MSCI,4156
ES,4155
V,4071
PM,4064
WRB,4053
AWK,4048
BLDR,4042
L,4006
AVGO,3723
FICO,3715
VRSK,3680
DG,3653
FTNT,3650
GNRC,3593
UAL,3592
CBOE,3507
TSLA,3498
NXPI,3471
CHTR,3444
LYB,3422
GM,3397
TRGP,3385
FLT,3379
KMI,3340
HCA,3322
HII,3314
MPC,3248
XYL,3170
APTV,3145
EPAM,3091
ENPH,3055
SPLK,3041
PSX,3034
TEAM,3022
META,3021
NOW,2992
COR,2989
CZR,2950
FANG,2919
WDAY,2918
NCLH,2854
ZTS,2844
ABBV,2836
NWSA,2749
NWS,2745
CDW,2741
ALLE,2644
AAL,2629
HLT,2626
GOOG,2556
PAYC,2542
ANET,2507
CTLT,2469
SYF,2469
CFG,2431
KEYS,2402
QRVO,2362
PANW,2332
ETSY,2291
WRK,2240
KHC,2236
PYPL,2235
HPE,2150
MTCH,2138
FI,2052
FTV,1984
AXON,1981
TTD,1928
LW,1891
KDP,1877
INVH,1837
HWM,1837
PDD,1706
MDB,1656
VICI,1655
ZBH,1648
VMC,1647
IQV,1638
CBRE,1556
ZS,1555
CDAY,1493
MRNA,1372
DOW,1303
UBER,1266
DD,1257
CTVA,1256
CRWD,1253
EVRG,1177
DDOG,1176
CARR,1040
OTIS,1039
VTRS,881
ABNB,866
COST,745
DASH,733
CCEP,715
BBWI,671
GFS,601
WTW,559
ELV,435
CTRA,314
WBD,314
GEHC,224
CEG,224
KVUE,221
RVTY,213
EG,177
BALL,121
